[10/Jun/2026:05:00:02 +0000] - GET /admin/dashboard 401 0.272 ms - Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.7291
[10/Jun/2026:05:00:02 +0000] - GET /leaderboard 404 0.277 ms - Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.7291
[10/Jun/2026:05:00:02 +0000] - GET /user 401 0.476 ms - Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.7291
[10/Jun/2026:05:00:09 +0000] - GET /leaderboard/daily 200 0.635 ms - Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.7291
[10/Jun/2026:05:00:09 +0000] - GET /coinflip 404 0.693 ms - Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.7291
[10/Jun/2026:05:00:09 +0000] - GET /jackpot 404 0.789 ms - Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.7291
[10/Jun/2026:05:07:44 +0000] - GET / 200 2.270 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:07:44 +0000] - GET /favicon.ico 404 1.416 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:12:11 +0000] - GET / 200 1.946 ms - Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.7291
[10/Jun/2026:05:12:28 +0000] - GET / 200 0.880 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:12:29 +0000] - GET / 200 0.278 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:13:04 +0000] - GET /slots?limit=25 200 57.689 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:14:22 +0000] - GET /slots/providers 200 0.327 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:14:22 +0000] - GET /slots/featured 200 0.220 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:14:22 +0000] - GET /slots?sortOrder=DESC&sortBy=popularity&provider=&search= 200 50.712 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:14:27 +0000] - GET /slots?offset=0&sortOrder=DESC&sortBy=popularity&provider=&search= 200 83.207 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:14:35 +0000] - GET /slots?limit=25 200 54.382 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
[10/Jun/2026:05:14:47 +0000] - GET /cases 200 0.424 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0
